Single thread
Container,Version,Singleton,Transient,Combined,Complex,Prepare And Register And Simple Resolve,Prepare And Register
ä,1,NaN,NaN,NaN,NaN,NaN,NaN

Multiple threads
Container,Version,Singleton,Transient,Combined,Complex,Prepare And Register And Simple Resolve,Prepare And Register
ä,1
